OBJECTID,Vehicle Year,Vehicle Make,Vehicle Model,Vehicle Style,Vehicle Colour,Vehicle Value,Weekday,Recovered,Neighbourhood,Ward,Sector,Reported Date,Occurred Date,Year,Intersection,Division,Census Tract,Time of Day,Councillor,Reported Hour,Occurred Hour,x,y
38,2014,"HONDA/AMERICAN HONDA MOTOR CO.,",ODYSSEY(MINIVAN),Van,BLK,,Saturday,Y,Richmond,Ward 21 - Rideau-Jock,Sector 12,1/20/2018 5:00:00 AM,1/20/2018 5:00:00 AM,2018,"DR. NEELIN DR, MOORE ST",West,5050151.03,Evening,David Brown,2000,2000,356575.5051,5006949.3952
39,,KUBOTA TRACTOR CORP.,,Other,YELONG,45000,Friday,N,East Industrial,Ward 18 - Alta Vista,Sector 33,1/20/2018 5:00:00 AM,1/19/2018 5:00:00 AM,2018,"SANFORD FLEMING AVE, STEAMLINE ST",East,5050011.01,Afternoon,Marty Carr,1300,1400,370872.7603,5030708.7435
40,2014,BMW,200,Automobile,BLK,,Sunday,Y,Hunt Club Upper -Blossom Park - Timbermill,Ward 10 - Gloucester-Southgate,Sector 35,1/22/2018 5:00:00 AM,1/21/2018 5:00:00 AM,2018,"BRIGHAM WAY, HANK RIVERS DR S",East,5050123.03,Afternoon,Jessica Bradley,700,1700,372474.1739,5024117.2586
41,2011,FORD,,Van,,,Monday,Y,Orléans Chapel Hill South,Ward 19 - Orléans South-Navan,Sector 31,1/22/2018 5:00:00 AM,1/22/2018 5:00:00 AM,2018,"INNES RD, LAMARCHE AVE",East,5050125.10,Afternoon,Catherine Kitts,1700,1700,381086.3983,5034648.9606
42,2016,"TOYOTA/ TOYOTA MOTOR CO., LTD.",COROLLA,Automobile,DGR,,Monday,Y,East Industrial,Ward 11 - Beacon Hill-Cyrville,Sector 33,1/23/2018 5:00:00 AM,1/22/2018 5:00:00 AM,2018,"HIGHWAY 417, HWY 417 INNES IC112R54",East,5050122.02,Evening,Tim Tierney,1100,1800,374161.2598,5031268.2025
43,2014,FORD,F150,Automobile,RED,,Tuesday,N,Carlington,Ward 16 - River,Sector 21,1/24/2018 5:00:00 AM,1/23/2018 5:00:00 AM,2018,"CHATELAIN AVE, LARKIN ST",Central,5050022.00,Evening,Riley Brockington,800,2300,364408.8893,5026496.5305
44,,POLARIS INDUSTRIES INC./ E-Z-GO/ TEXTRON,,,WHI,,Wednesday,,,,,1/24/2018 5:00:00 AM,1/24/2018 5:00:00 AM,2018,,,,Afternoon,,1300,1300
45,2012,CHEVROLET,EXPRESS,Van,WHI,,Wednesday,Y,Tanglewood,Ward 9 - Knoxdale-Merivale,Sector 17,1/24/2018 5:00:00 AM,1/24/2018 5:00:00 AM,2018,"BENLEA DR, CARDIGAN DR",West,5050130.02,Afternoon,Sean Devine,1700,1700,364112.5892,5021535.4593
46,2005,CHRYSLER/ CHRYSLER OUTBOARD CORPORATION,300,Automobile,WHI,,Wednesday,Y,Ledbury - Heron Gate - Ridgemont - Elmwood,Ward 10 - Gloucester-Southgate,Sector 34,1/24/2018 5:00:00 AM,1/24/2018 5:00:00 AM,2018,"HEATHERINGTON RD, FAIRLEA CRES S, ANGELA PRIV",East,5050001.09,Afternoon,Jessica Bradley,1200,1200,371874.9212,5026500.5284
47,,FORD,F150,,DBL,,Thursday,,,,,1/25/2018 5:00:00 AM,1/25/2018 5:00:00 AM,2018,,,,Morning,,1100,1100
48,2000,DODGE,,Automobile,DGR,1000,Friday,N,Bayshore,Ward 7 - Bay,Sector 14,1/26/2018 5:00:00 AM,1/26/2018 5:00:00 AM,2018,"BAYSHORE DR, WOODRIDGE CRES S",West,5050138.00,Night,Theresa Kavanagh,900,500,359236.4591,5023511.7923
49,2009,JEEP (1989 AND AFTER),PATRIOT,Suv,BLU,15000,Saturday,Y,Vars,Ward 20 - Osgoode,Sector 37,1/27/2018 5:00:00 AM,1/27/2018 5:00:00 AM,2018,"FARWEL ST, ROCKDALE RD",East,5050171.03,Evening,Isabelle Skalski,1800,1800,394881.061,5024112.4529
50,2009,LEXUS,ES350,Automobile,GRY,,Sunday,Y,Centretown,Ward 14 - Somerset,Sector 23,1/28/2018 5:00:00 AM,1/28/2018 5:00:00 AM,2018,"ARLINGTON AVE, PERCY ST",Central,5050039.00,Night,Ariel Troster,1000,0,367453.3775,5030003.8157
51,2013,KIA MOTORS CORPORATION,SORENTO,Automobile,BRZ,12000,Sunday,Y,Centretown,Ward 14 - Somerset,Sector 23,1/28/2018 5:00:00 AM,1/28/2018 5:00:00 AM,2018,"NEPEAN ST, BANK ST",Central,5050038.00,Night,Ariel Troster,200,200,367563.7272,5031133.0582
52,2018,KUBOTA TRACTOR CORP.,,Other,ONG,57000,Monday,N,Russell - Edwards,Ward 20 - Osgoode,Sector 37,1/29/2018 5:00:00 AM,1/29/2018 5:00:00 AM,2018,"PIPERVILLE RD, ANDERSON RD",East,5050126.04,Morning,Isabelle Skalski,1000,1000,381296.9723,5022970.4925
53,2018,KUBOTA TRACTOR CORP.,,Other,ONG,57000,Monday,N,Russell - Edwards,Ward 20 - Osgoode,Sector 37,1/29/2018 5:00:00 AM,1/29/2018 5:00:00 AM,2018,"PIPERVILLE RD, ANDERSON RD",East,5050126.04,Morning,Isabelle Skalski,1000,1000,381296.9723,5022970.4925
54,2016,DODGE,RAM 1500 PU,Truck,BLK,,Sunday,N,Hunt Club - Ottawa Airport,Ward 10 - Gloucester-Southgate,Sector 35,1/29/2018 5:00:00 AM,1/28/2018 5:00:00 AM,2018,"RIVERSIDE DR, 175 S OF HUNT CLUB  RD, RUNWAY CENTRE",East,5050002.06,Afternoon,Jessica Bradley,1400,1700,368035.5989,5021780.527
55,2012,CHEVROLET,SILVERADO,Truck,GRY,,Monday,Y,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Ward 1 - Orléans East-Cumberland,Sector 31,1/29/2018 5:00:00 AM,1/29/2018 5:00:00 AM,2018,"TENTH LINE RD , 240 S OF CHARLEMAGNE BLVD/DES EPINETTES AVE, CANADIAN TIRE SC",East,5050170.08,Afternoon,Matthew Luloff,1500,1300,383736.373,5036676.4495
56,2012,DODGE,RAM 1500 PU,Automobile,BLK,,Sunday,Y,Blackburn Hamlet,Ward 2 - Orléans West-Innes,Sector 31,1/29/2018 5:00:00 AM,12/31/2017 5:00:00 AM,2018,"ORIENT PARK DR, BELMORE LANE",East,5050125.02,Evening,Laura Dudas,900,1900,378478.9353,5032919.558
57,2008,"HONDA/AMERICAN HONDA MOTOR CO.,",CIVIC (AND CRX),Automobile,BLK,,Saturday,Y,Ledbury - Heron Gate - Ridgemont - Elmwood,Ward 16 - River,Sector 34,1/30/2018 5:00:00 AM,1/27/2018 5:00:00 AM,2018,"AIRPORT PKY NB OFF RAMP, TRANSITWAY",East,5050001.10,Evening,Riley Brockington,1200,2300,370190.9154,5025638.5225
58,2007,FORD,ECONOLINE E250,Van,WHI,10000,Friday,Y,Rothwell Heights - Beacon Hill North,Ward 11 - Beacon Hill-Cyrville,Sector 32,1/31/2018 5:00:00 AM,1/26/2018 5:00:00 AM,2018,"CANOTEK RD, POLYTEK ST",East,5050120.02,Afternoon,Tim Tierney,1200,1700,376449.9188,5035606.5875
59,2006,MAZDA,MAZDA 3,Automobile,BLU,8000,Wednesday,Y,Cummings,Ward 11 - Beacon Hill-Cyrville,Sector 32,1/31/2018 5:00:00 AM,1/31/2018 5:00:00 AM,2018,"BOWMOUNT ST, HENDON WAY",East,5050122.01,Afternoon,Tim Tierney,1800,1600,372412.9122,5032503.5742
60,2002,AUDI,,Atv (4 Wheeler),RED,500,Friday,Y,Hunt Club South Industrial,Ward 9 - Knoxdale-Merivale,Sector 17,2/2/2018 5:00:00 AM,2/2/2018 5:00:00 AM,2018,"ANTARES DR, CAPELLA CRT",West,5050130.01,Afternoon,Sean Devine,1200,1200,366788.9007,5021768.4924
61,,,,Other,,,Friday,Y,Hintonburg - Mechanicsville,Ward 15 - Kitchissippi,Sector 21,2/2/2018 5:00:00 AM,2/2/2018 5:00:00 AM,2018,"BAYSWATER AVE, SOMERSET ST",Central,5050043.00,Night,Jeff Leiper,700,500,365814.5294,5029909.5799
62,2002,"HONDA/AMERICAN HONDA MOTOR CO.,",CRV,Suv,BLU,,Saturday,Y,Cityview - Skyline - Fisher Heights,Ward 9 - Knoxdale-Merivale,Sector 17,2/3/2018 5:00:00 AM,2/3/2018 5:00:00 AM,2018,"BASELINE RD, 307m E OF CLYDE AVE",West,5050023.02,Morning,Sean Devine,700,700,364614.978,5025049.7498
63,2007,FORD,RANGER,Truck,GRY,,Saturday,Y,Vanier South,Ward 12 - Rideau-Vanier,Sector 25,2/3/2018 5:00:00 AM,2/3/2018 5:00:00 AM,2018,"ALTHA AVE, LEVIS AVE",Central,5050102.00,Morning,Stéphanie Plante,900,800,370687.9047,5033209.5842
64,1999,FORD,F150,Automobile,BRN,,Saturday,Y,Centretown,Ward 14 - Somerset,Sector 23,2/3/2018 5:00:00 AM,2/3/2018 5:00:00 AM,2018,"JACK PURCELL LANE, FRANK ST",Central,5050037.02,Morning,Ariel Troster,1200,900,368317.9008,5030880.5667
65,2003,BUICK,CENTURY,,DGR,,Sunday,,,,,2/4/2018 5:00:00 AM,2/4/2018 5:00:00 AM,2018,,,,Night,,700,300
66,2003,"TOYOTA/ TOYOTA MOTOR CO., LTD.",ECHO,Automobile,RED,,Sunday,Y,Woodroffe - Lincoln Heights,Ward 7 - Bay,Sector 14,2/5/2018 5:00:00 AM,2/4/2018 5:00:00 AM,2018,"AMBLESIDE DR, MCEWEN AVE",West,5050031.00,Evening,Theresa Kavanagh,800,1800,361032.362,5025990.286
67,2015,DODGE,,Van,BLU,,Saturday,Y,Woodvale - Craig Henry - Manordale - Estates of Arlington Woods,Ward 9 - Knoxdale-Merivale,Sector 15,2/5/2018 5:00:00 AM,2/3/2018 5:00:00 AM,2018,"CRAIG HENRY DR, JACK AARON DR",West,5050135.01,Evening,Sean Devine,700,1900,362421.7237,5021882.4615
68,2017,GENERAL MOTORS CORP.,,Truck,WHI,,Friday,Y,Pineview,Ward 11 - Beacon Hill-Cyrville,Sector 32,2/5/2018 5:00:00 AM,1/26/2018 5:00:00 AM,2018,"FINE CRES, MEADOWBROOK RD S",East,5050122.02,Evening,Tim Tierney,1100,1900,374645.5725,5031324.7472
