OBJECTID,ID,Year,Reported Date,Occurred Date,Weekday,Hate Crime Type,Hate Crime Motivation,Offence Category,Neighbourhood,Sector,Division,Census Tract,Ward,Councillor,Offence Type
558,558,2023,1/24/2023 5:00:00 AM,1/20/2023 5:00:00 AM,Friday,Sexual Orientation,LGBTQ2+,Mischief To Property,Hunt Club Upper -Blossom Park - Timbermill,Sector 35,East,5050123.03,Ward 10 - Gloucester-Southgate,Jessica Bradley,Criminal
559,559,2023,1/25/2023 5:00:00 AM,1/25/2023 5:00:00 AM,Wednesday,Race/Ethnicity,Indigenous/Aboriginal,Assault Level 1,Overbrook - McArthur,Sector 25,Central,5050013.00,Ward 13 - Rideau-Rockcliffe,Rawlson King,Criminal
560,560,2023,1/26/2023 5:00:00 AM,1/25/2023 5:00:00 AM,Wednesday,Race/Ethnicity,"India,Pakistan/South Asian",Dispute-Disturbance,Katimavik - Hazeldean,Sector 13,West,5050160.06,Ward 4 - Kanata North,Cathy Curry,Non-Criminal
561,561,2023,1/27/2023 5:00:00 AM,1/27/2023 5:00:00 AM,Friday,Religion,Jewish,Mischief To Property,Carleton University,Sector 22,Central,5050020.01,Ward 17 - Capital,Shawn Menard,Criminal
562,562,2023,1/28/2023 5:00:00 AM,1/28/2023 5:00:00 AM,Saturday,Race/Ethnicity,"Arab(West Asian,Middle Eastern and North African origins)",Threats Utter To Person,Hunt Club Upper -Blossom Park - Timbermill,Sector 35,East,5050123.03,Ward 10 - Gloucester-Southgate,Jessica Bradley,Criminal
563,563,2023,1/29/2023 5:00:00 AM,1/29/2023 5:00:00 AM,Sunday,Gender,Woman,Assault Level 1,Sandy Hill - Ottawa East,Sector 24,Central,5050052.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
564,564,2023,2/1/2023 5:00:00 AM,1/31/2023 5:00:00 AM,Tuesday,Sexual Orientation,LGBTQ2+,Assault Level 1,East Industrial,Sector 33,East,5050011.01,Ward 18 - Alta Vista,Marty Carr,Criminal
565,565,2023,2/2/2023 5:00:00 AM,2/1/2023 5:00:00 AM,Wednesday,Religion,Jewish,Harass Communications,Glebe - Dows Lake,Sector 22,Central,5050018.00,Ward 17 - Capital,Shawn Menard,Criminal
566,566,2023,2/2/2023 5:00:00 AM,2/2/2023 5:00:00 AM,Thursday,Race/Ethnicity,Black,B&E Non-Res.Prop/Commercial,Rothwell Heights - Beacon Hill North,Sector 32,East,5050120.03,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,Criminal
567,567,2023,2/6/2023 5:00:00 AM,2/5/2023 5:00:00 AM,Sunday,Religion,Catholic,Mischief To Property,Orléans Central,Sector 31,East,5050124.01,Ward 1 - Orléans East-Cumberland,Matthew Luloff,Criminal
568,568,2023,2/6/2023 5:00:00 AM,2/5/2023 5:00:00 AM,Sunday,Religion,Jewish,Mischief To Property,Riverside South - Leitrim,Sector 35,East,5050126.04,Ward 22 - Riverside South-Findlay Creek,Steve Desroches,Criminal
569,569,2023,2/8/2023 5:00:00 AM,2/8/2023 5:00:00 AM,Wednesday,Religion,Jewish,Mischief To Property,Bells Corners East,Sector 15,West,5050136.01,Ward 8 - College,Laine Johnson,Criminal
570,570,2023,2/9/2023 5:00:00 AM,2/9/2023 5:00:00 AM,Thursday,Sexual Orientation,LGBTQ2+,Threats Utter To Person,Centretown,Sector 23,Central,5050048.00,Ward 14 - Somerset,Ariel Troster,Criminal
571,571,2023,2/10/2023 5:00:00 AM,2/10/2023 5:00:00 AM,Friday,Gender,Woman,Threats Utter To Person,Metcalfe,Sector 36,East,5050190.01,Ward 20 - Osgoode,Isabelle Skalski,Criminal
572,572,2023,2/10/2023 5:00:00 AM,2/10/2023 5:00:00 AM,Friday,Religion,Catholic,Mischief Hate Cultrl/Rel Prop,West Centertown,Sector 22,Central,5050035.00,Ward 15 - Kitchissippi,Jeff Leiper,Criminal
573,573,2023,2/12/2023 5:00:00 AM,2/12/2023 5:00:00 AM,Sunday,Race/Ethnicity,Chinese,Assault Level 1,Centretown,Sector 23,Central,5050040.00,Ward 14 - Somerset,Ariel Troster,Criminal
574,574,2023,2/12/2023 5:00:00 AM,2/6/2023 5:00:00 AM,Monday,Sexual Orientation,LGBTQ2+,Assault Level 1,Byward Market,Sector 24,Central,5050054.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
575,575,2023,2/13/2023 5:00:00 AM,2/12/2023 5:00:00 AM,Sunday,Sexual Orientation,LGBTQ2+,Mischief To Property,Centretown,Sector 23,Central,5050038.00,Ward 14 - Somerset,Ariel Troster,Criminal
576,576,2023,2/13/2023 5:00:00 AM,2/13/2023 5:00:00 AM,Monday,Race/Ethnicity,Black,Mischief To Property,Katimavik - Hazeldean,Sector 13,West,5050160.06,Ward 4 - Kanata North,Cathy Curry,Criminal
577,577,2023,2/14/2023 5:00:00 AM,2/14/2023 5:00:00 AM,Tuesday,Religion,Muslim (Islam),Assault Level 1,Richmond,Sector 12,West,5050151.03,Ward 21 - Rideau-Jock,David Brown,Criminal
578,578,2023,2/16/2023 5:00:00 AM,2/15/2023 5:00:00 AM,Wednesday,Religion,Jewish,Mischief To Property,Stittsville,Sector 13,West,5050151.05,Ward 6 - Stittsville,Glen Gower,Criminal
579,579,2023,2/16/2023 5:00:00 AM,2/16/2023 5:00:00 AM,Thursday,Religion,Jewish,Mischief To Property,Stittsville,Sector 13,West,5050151.05,Ward 6 - Stittsville,Glen Gower,Criminal
580,580,2023,2/16/2023 5:00:00 AM,2/15/2023 5:00:00 AM,Wednesday,Religion,Jewish,Mischief To Property,Stittsville,Sector 13,West,5050151.06,Ward 6 - Stittsville,Glen Gower,Criminal
581,581,2023,2/21/2023 5:00:00 AM,2/20/2023 5:00:00 AM,Monday,Race/Ethnicity,"India,Pakistan/South Asian",Mischief To Property,Braemar Park - Bel Air Heights - Copeland Park,Sector 17,West,5050023.01,Ward 8 - College,Laine Johnson,Criminal
582,582,2023,2/21/2023 5:00:00 AM,2/21/2023 5:00:00 AM,Tuesday,Religion,Jewish,Mischief To Property,Braemar Park - Bel Air Heights - Copeland Park,Sector 17,West,5050023.01,Ward 8 - College,Laine Johnson,Criminal
583,583,2023,2/21/2023 5:00:00 AM,2/21/2023 5:00:00 AM,Tuesday,Religion,Jewish,Mischief To Property,East Industrial,Sector 33,East,5050122.02,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,Criminal
584,584,2023,2/22/2023 5:00:00 AM,2/22/2023 5:00:00 AM,Wednesday,Gender,LGBTQ2+,"Disturbance Causing,Loiter Etc",Glebe - Dows Lake,Sector 22,Central,5050018.00,Ward 17 - Capital,Shawn Menard,Criminal
585,585,2023,2/22/2023 5:00:00 AM,2/15/2023 5:00:00 AM,Wednesday,Race/Ethnicity,Black,Public Incitement Of Hatred,Riverside Park,Sector 34,East,5050003.00,Ward 16 - River,Riley Brockington,Criminal
586,586,2023,2/23/2023 5:00:00 AM,2/22/2023 5:00:00 AM,Wednesday,Race/Ethnicity,Black,Mischief To Property,Katimavik - Hazeldean,Sector 13,West,5050160.04,Ward 23 - Kanata South,Allan Hubley,Criminal
