OBJECTID,ID,Year,Reported Date,Occurred Date,Weekday,Hate Crime Type,Hate Crime Motivation,Offence Category,Neighbourhood,Sector,Division,Census Tract,Ward,Councillor,Offence Type
1206,1206,2024,11/3/2024 5:00:00 AM,11/3/2024 5:00:00 AM,Sunday,Race/Ethnicity,Chinese,Mischief To Property,New Barrhaven - New Development - Stonebridge,Sector 16,West,5050141.22,Ward 24 - Barrhaven East,Wilson Lo,Criminal
1207,1207,2024,11/4/2024 5:00:00 AM,11/4/2024 5:00:00 AM,Monday,Race/Ethnicity,Black,Mischief To Property,Centretown,Sector 23,Central,5050038.00,Ward 14 - Somerset,Ariel Troster,Criminal
1208,1208,2024,11/4/2024 5:00:00 AM,11/4/2024 5:00:00 AM,Monday,Race/Ethnicity,"India,Pakistan/South Asian",Threatening Communications,Centretown,Sector 23,Central,5050048.00,Ward 14 - Somerset,Ariel Troster,Criminal
1209,1209,2024,11/8/2024 5:00:00 AM,11/7/2024 5:00:00 AM,Thursday,Sexual Orientation,LGBTQ2+,Harass Sexual Orientation,Lowertown,Sector 24,Central,5050056.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Non-Criminal
1210,1210,2024,11/8/2024 5:00:00 AM,11/8/2024 5:00:00 AM,Friday,Religion,Jewish,Mischief To Property,Centretown,Sector 23,Central,5050037.01,Ward 14 - Somerset,Ariel Troster,Criminal
1211,1211,2024,11/8/2024 5:00:00 AM,9/17/2024 5:00:00 AM,Tuesday,Religion,Jewish,Wilful Promotion Of Hatred,Centretown,Sector 23,Central,5050048.00,Ward 14 - Somerset,Ariel Troster,Criminal
1212,1212,2024,11/8/2024 5:00:00 AM,11/8/2024 5:00:00 AM,Friday,Race/Ethnicity,Chinese,Mischief To Property,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Sector 13,West,5050160.15,Ward 4 - Kanata North,Cathy Curry,Criminal
1213,1213,2024,11/9/2024 5:00:00 AM,11/9/2024 5:00:00 AM,Saturday,Race/Ethnicity,Black,Dispute-Disturbance,Orléans Chatelaine Village,Sector 31,East,5050170.01,Ward 1 - Orléans East-Cumberland,Matthew Luloff,Non-Criminal
1214,1214,2024,11/11/2024 5:00:00 AM,11/11/2024 5:00:00 AM,Monday,Race/Ethnicity,"India,Pakistan/South Asian",Threats Utter To Person,Glen Cairn - Kanata South Business Park,Sector 13,West,5050151.08,Ward 6 - Stittsville,Glen Gower,Non-Criminal
1215,1215,2024,11/12/2024 5:00:00 AM,11/8/2024 5:00:00 AM,Friday,Religion,Catholic,Mischief Hate Cultrl/Rel Prop,Bells Corners East,Sector 15,West,5050136.01,Ward 8 - College,Laine Johnson,Criminal
1216,1216,2024,11/12/2024 5:00:00 AM,11/12/2024 5:00:00 AM,Tuesday,Religion,Jewish,Harass Communications,Glebe - Dows Lake,Sector 22,Central,5050018.00,Ward 17 - Capital,Shawn Menard,Criminal
1217,1217,2024,11/12/2024 5:00:00 AM,10/20/2024 5:00:00 AM,Sunday,Religion,Catholic,Mischief Hate Cultrl/Rel Prop,Bells Corners East,Sector 15,West,5050136.01,Ward 8 - College,Laine Johnson,Criminal
1218,1218,2024,11/14/2024 5:00:00 AM,11/14/2024 5:00:00 AM,Thursday,Religion,Jewish,Mischief To Property,Carleton Heights - Rideauview,Sector 17,West,5050020.01,Ward 16 - River,Riley Brockington,Criminal
1219,1219,2024,11/15/2024 5:00:00 AM,11/15/2024 5:00:00 AM,Friday,Race/Ethnicity,Black,Dispute-Neighbour,Vanier South,Sector 25,Central,5050100.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Non-Criminal
1220,1220,2024,11/15/2024 5:00:00 AM,11/15/2024 5:00:00 AM,Friday,Race/Ethnicity,Black,Assault Level 1,Overbrook - McArthur,Sector 25,Central,5050101.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
1221,1221,2024,11/15/2024 5:00:00 AM,11/15/2024 5:00:00 AM,Friday,Combination (More than 2 Motivations),Combination (More than 2 Motivations),Threats Utter To Person,Trend-Arlington,Sector 15,West,5050135.02,Ward 9 - Knoxdale-Merivale,Sean Devine,Criminal
1222,1222,2024,11/16/2024 5:00:00 AM,11/16/2024 5:00:00 AM,Saturday,Race/Ethnicity,Black,Assault Aggravated Lvl 3,East Industrial,Sector 33,East,5050011.01,Ward 18 - Alta Vista,Marty Carr,Criminal
1223,1223,2024,11/16/2024 5:00:00 AM,11/15/2024 5:00:00 AM,Friday,Race/Ethnicity,"Arab(West Asian,Middle Eastern and North African origins)",Harass Communications,Greenboro East,Sector 35,East,5050001.05,Ward 10 - Gloucester-Southgate,Jessica Bradley,Criminal
1224,1224,2024,11/16/2024 5:00:00 AM,11/16/2024 5:00:00 AM,Saturday,Race/Ethnicity,Chinese,Assault With Weapon Or Cbh Lv2,Byward Market,Sector 24,Central,5050054.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
1225,1225,2024,11/17/2024 5:00:00 AM,11/15/2024 5:00:00 AM,Friday,Religion,Jewish,Assault Under 16,New Barrhaven - New Development - Stonebridge,Sector 16,West,5050141.20,Ward 3 - Barrhaven West,David Hill,Criminal
1226,1226,2024,11/17/2024 5:00:00 AM,11/17/2024 5:00:00 AM,Sunday,Race/Ethnicity,Chinese,Assault With Weapon Or Cbh Lv2,Centretown,Sector 23,Central,5050038.00,Ward 14 - Somerset,Ariel Troster,Criminal
1227,1227,2024,11/17/2024 5:00:00 AM,11/17/2024 5:00:00 AM,Sunday,Race/Ethnicity,Chinese,Homicide-Attempt Murder,Centretown,Sector 23,Central,5050048.00,Ward 14 - Somerset,Ariel Troster,Criminal
1228,1228,2024,11/17/2024 5:00:00 AM,11/17/2024 5:00:00 AM,Sunday,Race/Ethnicity,Chinese,Assault With Weapon Or Cbh Lv2,West Centertown,Sector 22,Central,5050035.00,Ward 17 - Capital,Shawn Menard,Criminal
1229,1229,2024,11/20/2024 5:00:00 AM,11/20/2024 5:00:00 AM,Wednesday,Combination (More than 2 Motivations),Combination (More than 2 Motivations),Mischief To Property,Navan - Carlsbad Springs,Sector 37,East,5050171.03,Ward 19 - Orléans South-Navan,Catherine Kitts,Criminal
1230,1230,2024,11/21/2024 5:00:00 AM,11/20/2024 5:00:00 AM,Wednesday,Religion,Catholic,Mischief To Property,Whitehaven - Queensway Terrace North,Sector 14,West,5050028.00,Ward 7 - Bay,Theresa Kavanagh,Criminal
1231,1231,2024,11/21/2024 5:00:00 AM,11/21/2024 5:00:00 AM,Thursday,Immigrants/Newcomers to Canada,Immigrants/Newcomers to Canada,Mischief To Property,Carlington,Sector 21,Central,5050022.00,Ward 16 - River,Riley Brockington,Criminal
1232,1232,2024,11/21/2024 5:00:00 AM,11/19/2024 5:00:00 AM,Tuesday,Sexual Orientation,LGBTQ2+,Indecent Communications,Hunt Club East - Western Community,Sector 35,East,5050002.05,Ward 16 - River,Riley Brockington,Criminal
1233,1233,2024,11/22/2024 5:00:00 AM,11/22/2024 5:00:00 AM,Friday,Religion,Jewish,Harass Race/Religion,Richmond,Sector 12,West,5050151.03,Ward 21 - Rideau-Jock,David Brown,Non-Criminal
1234,1234,2024,11/22/2024 5:00:00 AM,11/22/2024 5:00:00 AM,Friday,Race/Ethnicity,Black,Harass Crim Stalking,New Barrhaven - New Development - Stonebridge,Sector 16,West,5050141.20,Ward 3 - Barrhaven West,David Hill,Criminal
1235,1235,2024,11/23/2024 5:00:00 AM,11/18/2024 5:00:00 AM,Monday,Religion,Jewish,Mischief To Property,Cityview - Skyline - Fisher Heights,Sector 17,West,5050132.00,Ward 9 - Knoxdale-Merivale,Sean Devine,Criminal
1236,1236,2024,11/23/2024 5:00:00 AM,10/30/2024 5:00:00 AM,Wednesday,Religion,Jewish,Mischief To Property,Bells Corners West,Sector 15,West,5050136.02,Ward 8 - College,Laine Johnson,Criminal
1237,1237,2024,11/23/2024 5:00:00 AM,11/23/2024 5:00:00 AM,Saturday,Religion,Jewish,Mischief To Property,,,,5050020.01,Ward 16 - River,Riley Brockington,Criminal
1238,1238,2024,11/25/2024 5:00:00 AM,11/25/2024 5:00:00 AM,Monday,Religion,Jewish,Mischief To Property,Orléans Central,Sector 31,East,5050170.10,Ward 1 - Orléans East-Cumberland,Matthew Luloff,Criminal
1239,1239,2024,11/27/2024 5:00:00 AM,11/27/2024 5:00:00 AM,Wednesday,Sexual Orientation,LGBTQ2+,Mischief To Property,Carleton Heights - Rideauview,Sector 17,West,5050020.02,Ward 16 - River,Riley Brockington,Criminal
1240,1240,2024,11/28/2024 5:00:00 AM,11/28/2024 5:00:00 AM,Thursday,Religion,Jewish,Mischief To Property,Stittsville,Sector 13,West,5050151.04,Ward 6 - Stittsville,Glen Gower,Criminal
1241,1241,2024,11/28/2024 5:00:00 AM,11/28/2024 5:00:00 AM,Thursday,Race/Ethnicity,"Arab(West Asian,Middle Eastern and North African origins)",Mischief To Property,Orléans Village - Chateauneuf,Sector 31,East,5050125.08,Ward 2 - Orléans West-Innes,Laura Dudas,Criminal
1242,1242,2024,11/28/2024 5:00:00 AM,11/28/2024 5:00:00 AM,Thursday,Religion,Catholic,Breach Undertaking/Recog/Fta,Bells Corners East,Sector 15,West,5050136.01,Ward 8 - College,Laine Johnson,Criminal
1243,1243,2024,11/28/2024 5:00:00 AM,11/28/2024 5:00:00 AM,Thursday,Race/Ethnicity,Black,Assault Level 1,Westboro,Sector 21,Central,5050045.02,Ward 15 - Kitchissippi,Jeff Leiper,Criminal
1244,1244,2024,11/29/2024 5:00:00 AM,11/29/2024 5:00:00 AM,Friday,Immigrants/Newcomers to Canada,Immigrants/Newcomers to Canada,Dispute-Neighbour,Centrepointe,Sector 15,West,5050137.05,Ward 8 - College,Laine Johnson,Non-Criminal
1245,1245,2024,11/29/2024 5:00:00 AM,11/29/2024 5:00:00 AM,Friday,Religion,Jewish,Mischief To Property,Civic Hospital-Central Park,Sector 21,Central,5050023.02,Ward 16 - River,Riley Brockington,Criminal
1246,1246,2024,11/30/2024 5:00:00 AM,11/29/2024 5:00:00 AM,Friday,Sexual Orientation,LGBTQ2+,Mischief To Property,Stittsville,Sector 13,West,5050151.04,Ward 6 - Stittsville,Glen Gower,Criminal
1247,1247,2024,12/1/2024 5:00:00 AM,11/11/2024 5:00:00 AM,Monday,Sexual Orientation,LGBTQ2+,Assault Level 1,Chapman Mills - Rideau Crest - Davidson Heights,Sector 16,West,5050141.09,Ward 24 - Barrhaven East,Wilson Lo,Criminal
1248,1248,2024,12/2/2024 5:00:00 AM,12/2/2024 5:00:00 AM,Monday,Religion,Catholic,Mischief To Property,Centretown,Sector 23,Central,5050038.00,Ward 14 - Somerset,Ariel Troster,Criminal
1249,1249,2024,12/4/2024 5:00:00 AM,12/4/2024 5:00:00 AM,Wednesday,Religion,Jewish,Mischief To Property,Carleton University,Sector 22,Central,5050020.01,Ward 17 - Capital,Shawn Menard,Criminal
1250,1250,2024,12/6/2024 5:00:00 AM,12/6/2024 5:00:00 AM,Friday,Race/Ethnicity,Black,Harass Crim Stalking,Bridlewood - Emerald Meadows,Sector 13,West,5050161.06,Ward 23 - Kanata South,Allan Hubley,Criminal
1251,1251,2024,12/8/2024 5:00:00 AM,12/8/2024 5:00:00 AM,Sunday,Sexual Orientation,LGBTQ2+,Dispute-Disturbance,Byward Market,Sector 24,Central,5050054.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Non-Criminal
1252,1252,2024,12/15/2024 5:00:00 AM,12/15/2024 5:00:00 AM,Sunday,Race/Ethnicity,"Arab(West Asian,Middle Eastern and North African origins)",Traffic Complaint - Vehicle,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Sector 13,West,5050160.15,Ward 23 - Kanata South,Allan Hubley,Non-Criminal
1253,1253,2024,12/16/2024 5:00:00 AM,12/16/2024 5:00:00 AM,Monday,Immigrants/Newcomers to Canada,Immigrants/Newcomers to Canada,Assault Level 1,Carlington,Sector 21,Central,5050022.00,Ward 16 - River,Riley Brockington,Criminal
1254,1254,2024,12/20/2024 5:00:00 AM,12/19/2024 5:00:00 AM,Thursday,Religion,Jewish,Mischief To Property,Centrepointe,Sector 15,West,5050137.05,Ward 8 - College,Laine Johnson,Criminal
1255,1255,2024,12/20/2024 5:00:00 AM,12/20/2024 5:00:00 AM,Friday,Race/Ethnicity,Black,Threats Utter To Person,Orléans Chapel Hill South,Sector 31,East,5050125.10,Ward 19 - Orléans South-Navan,Catherine Kitts,Criminal
1256,1256,2024,12/22/2024 5:00:00 AM,12/22/2024 5:00:00 AM,Sunday,Immigrants/Newcomers to Canada,Immigrants/Newcomers to Canada,Threats Utter To Person,Sandy Hill - Ottawa East,Sector 24,Central,5050051.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
1257,1257,2024,12/22/2024 5:00:00 AM,12/21/2024 5:00:00 AM,Saturday,Sexual Orientation,LGBTQ2+,Mischief To Property,Greenboro East,Sector 35,East,5050001.05,Ward 10 - Gloucester-Southgate,Jessica Bradley,Criminal
1258,1258,2024,12/23/2024 5:00:00 AM,12/23/2024 5:00:00 AM,Monday,Sexual Orientation,LGBTQ2+,Assault Level 1,Byward Market,Sector 24,Central,5050054.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
1259,1259,2024,12/24/2024 5:00:00 AM,12/24/2024 5:00:00 AM,Tuesday,Race/Ethnicity,Black,Harass Crim Stalking,Whitehaven - Queensway Terrace North,Sector 14,West,5050029.00,Ward 7 - Bay,Theresa Kavanagh,Criminal
1260,1260,2025,1/3/2025 5:00:00 AM,1/3/2025 5:00:00 AM,Friday,Gender,Woman,Dispute-Disturbance,Hunt Club East - Western Community,Sector 35,East,5050002.02,Ward 16 - River,Riley Brockington,Non-Criminal
1261,1261,2025,1/5/2025 5:00:00 AM,1/5/2025 5:00:00 AM,Sunday,Immigrants/Newcomers to Canada,Immigrants/Newcomers to Canada,Dispute-Disturbance,Bells Corners East,Sector 15,West,5050136.01,Ward 8 - College,Laine Johnson,Non-Criminal
1262,1262,2025,1/6/2025 5:00:00 AM,1/6/2025 5:00:00 AM,Monday,Race/Ethnicity,"India,Pakistan/South Asian",Dispute-Disturbance,Lowertown,Sector 24,Central,5050053.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Non-Criminal
1263,1263,2025,1/6/2025 5:00:00 AM,1/4/2025 5:00:00 AM,Saturday,Immigrants/Newcomers to Canada,Immigrants/Newcomers to Canada,Dispute-Landlord/Tenant,Rothwell Heights - Beacon Hill North,Sector 32,East,5050120.03,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,Non-Criminal
1264,1264,2025,1/6/2025 5:00:00 AM,6/23/2024 5:00:00 AM,Sunday,Sexual Orientation,LGBTQ2+,Mischief To Property,New Barrhaven - New Development - Stonebridge,Sector 16,West,5050141.11,Ward 24 - Barrhaven East,Wilson Lo,Criminal
1265,1265,2025,1/7/2025 5:00:00 AM,1/7/2025 5:00:00 AM,Tuesday,Race/Ethnicity,Black,Harass Race/Religion,Corkery,Sector 11,West,5050300.02,Ward 5 - West Carleton-March,Clarke Kelly,Non-Criminal
1266,1266,2025,1/12/2025 5:00:00 AM,1/12/2025 5:00:00 AM,Sunday,Race/Ethnicity,Chinese,Harass Communications,Bayshore,Sector 14,West,5050138.00,Ward 7 - Bay,Theresa Kavanagh,Criminal
1267,1267,2025,1/14/2025 5:00:00 AM,1/14/2025 5:00:00 AM,Tuesday,Immigrants/Newcomers to Canada,Immigrants/Newcomers to Canada,Threats To Property/Animal,Overbrook - McArthur,Sector 25,Central,5050012.00,Ward 13 - Rideau-Rockcliffe,Rawlson King,Criminal
1268,1268,2025,1/14/2025 5:00:00 AM,1/14/2025 5:00:00 AM,Tuesday,Race/Ethnicity,"Arab(West Asian,Middle Eastern and North African origins)",Dispute-Neighbour,Overbrook - McArthur,Sector 25,Central,5050101.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Non-Criminal
1269,1269,2025,1/15/2025 5:00:00 AM,1/15/2025 5:00:00 AM,Wednesday,Race/Ethnicity,Black,Assault With Weapon Or Cbh Lv2,Centretown,Sector 23,Central,5050039.00,Ward 14 - Somerset,Ariel Troster,Criminal
1270,1270,2025,1/15/2025 5:00:00 AM,1/15/2025 5:00:00 AM,Wednesday,Race/Ethnicity,Chinese,Assault With Weapon Or Cbh Lv2,Centretown,Sector 23,Central,5050037.02,Ward 14 - Somerset,Ariel Troster,Criminal
1271,1271,2025,1/19/2025 5:00:00 AM,1/19/2025 5:00:00 AM,Sunday,Race/Ethnicity,"India,Pakistan/South Asian",Assault Level 1,Whitehaven - Queensway Terrace North,Sector 14,West,5050025.00,Ward 7 - Bay,Theresa Kavanagh,Criminal
1272,1272,2025,1/20/2025 5:00:00 AM,1/10/2025 5:00:00 AM,Friday,Religion,Muslim (Islam),Dispute-Disturbance,Stittsville,Sector 13,West,5050151.04,Ward 6 - Stittsville,Glen Gower,Non-Criminal
1273,1273,2025,1/23/2025 5:00:00 AM,1/10/2025 5:00:00 AM,Friday,Combination (More than 2 Motivations),Combination (More than 2 Motivations),Public Incitement Of Hatred,Playfair Park - Lynda Park - Guildwood Estates,Sector 34,East,5050007.03,Ward 18 - Alta Vista,Marty Carr,Criminal
1274,1274,2025,1/24/2025 5:00:00 AM,1/20/2025 5:00:00 AM,Monday,Religion,Jewish,Threats Utter To Person,Stittsville,Sector 13,West,5050151.06,Ward 6 - Stittsville,Glen Gower,Criminal
1275,1275,2025,1/26/2025 5:00:00 AM,1/26/2025 5:00:00 AM,Sunday,Race/Ethnicity,"Arab(West Asian,Middle Eastern and North African origins)",Trespass Warning Issued,Hunt Club Woods - Quintarra - Revelstoke,Sector 35,East,5050002.06,Ward 16 - River,Riley Brockington,Non-Criminal
1276,1276,2025,1/26/2025 5:00:00 AM,1/26/2025 5:00:00 AM,Sunday,Religion,Muslim (Islam),Mischief To Property,New Barrhaven - New Development - Stonebridge,Sector 16,West,5050141.04,Ward 3 - Barrhaven West,David Hill,Criminal
1277,1277,2025,1/29/2025 5:00:00 AM,1/29/2025 5:00:00 AM,Wednesday,Religion,Jewish,Threats Utter To Person,Centretown,Sector 23,Central,5050048.00,Ward 14 - Somerset,Ariel Troster,Criminal
1278,1278,2025,2/1/2025 5:00:00 AM,2/1/2025 5:00:00 AM,Saturday,Race/Ethnicity,Black,Assault Aggravated Lvl 3,Centretown,Sector 23,Central,5050037.02,Ward 14 - Somerset,Ariel Troster,Criminal
1279,1279,2025,2/2/2025 5:00:00 AM,2/2/2025 5:00:00 AM,Sunday,Religion,Jewish,Mischief To Property,Billings Bridge - Alta Vista,Sector 34,East,5050006.00,Ward 18 - Alta Vista,Marty Carr,Criminal
1280,1280,2025,2/2/2025 5:00:00 AM,12/19/2024 5:00:00 AM,Thursday,Sexual Orientation,LGBTQ2+,Dispute-Disturbance,Centretown,Sector 23,Central,5050048.00,Ward 14 - Somerset,Ariel Troster,Non-Criminal
1281,1281,2025,2/2/2025 5:00:00 AM,2/2/2025 5:00:00 AM,Sunday,Combination (More than 2 Motivations),Combination (More than 2 Motivations),Wilful Promotion Of Hatred,New Barrhaven - New Development - Stonebridge,Sector 16,West,5050141.11,Ward 24 - Barrhaven East,Wilson Lo,Criminal
1282,1282,2025,2/3/2025 5:00:00 AM,1/31/2025 5:00:00 AM,Friday,Combination (More than 2 Motivations),Combination (More than 2 Motivations),Wilful Promotion Of Hatred,New Barrhaven - New Development - Stonebridge,Sector 16,West,5050141.17,Ward 24 - Barrhaven East,Wilson Lo,Criminal
1283,1283,2025,2/4/2025 5:00:00 AM,2/4/2025 5:00:00 AM,Tuesday,Race/Ethnicity,Black,Threats Utter To Person,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Sector 31,East,5050171.12,Ward 19 - Orléans South-Navan,Catherine Kitts,Criminal
1284,1284,2025,2/4/2025 5:00:00 AM,2/4/2025 5:00:00 AM,Tuesday,Sexual Orientation,LGBTQ2+,Harass Harrassment,Britannia Village,Sector 14,West,5050030.00,Ward 7 - Bay,Theresa Kavanagh,Non-Criminal
1285,1285,2025,2/4/2025 5:00:00 AM,2/4/2025 5:00:00 AM,Tuesday,Race/Ethnicity,Black,Mischief To Property,Rothwell Heights - Beacon Hill North,Sector 32,East,5050120.03,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,Criminal
1286,1286,2025,2/4/2025 5:00:00 AM,1/30/2025 5:00:00 AM,Thursday,Religion,Muslim (Islam),Dispute-Disturbance,Centretown,Sector 23,Central,5050048.00,Ward 14 - Somerset,Ariel Troster,Non-Criminal
1287,1287,2025,2/5/2025 5:00:00 AM,1/24/2025 5:00:00 AM,Friday,Religion,Muslim (Islam),Mischief To Property,Hunt Club - Ottawa Airport,Sector 35,East,5050127.00,Ward 10 - Gloucester-Southgate,Jessica Bradley,Criminal
1288,1288,2025,2/6/2025 5:00:00 AM,2/6/2025 5:00:00 AM,Thursday,Race/Ethnicity,Black,Mischief To Property,Blackburn Hamlet,Sector 31,East,5050125.01,Ward 2 - Orléans West-Innes,Laura Dudas,Criminal
1289,1289,2025,2/6/2025 5:00:00 AM,2/6/2025 5:00:00 AM,Thursday,Combination (More than 2 Motivations),Combination (More than 2 Motivations),Wilful Promotion Of Hatred,New Barrhaven - New Development - Stonebridge,Sector 16,West,5050141.26,Ward 3 - Barrhaven West,David Hill,Criminal
1290,1290,2025,2/10/2025 5:00:00 AM,1/6/2025 5:00:00 AM,Monday,Combination (More than 2 Motivations),Combination (More than 2 Motivations),Wilful Promotion Of Hatred,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Sector 31,East,5050171.07,Ward 19 - Orléans South-Navan,Catherine Kitts,Criminal
1291,1291,2025,2/10/2025 5:00:00 AM,2/6/2025 5:00:00 AM,Thursday,Race/Ethnicity,Black,Mischief To Property,Civic Hospital-Central Park,Sector 21,Central,5050023.02,Ward 16 - River,Riley Brockington,Criminal
1292,1292,2025,2/10/2025 5:00:00 AM,2/1/2025 5:00:00 AM,Saturday,Combination (More than 2 Motivations),Combination (More than 2 Motivations),Wilful Promotion Of Hatred,New Barrhaven - New Development - Stonebridge,Sector 16,West,5050141.24,Ward 3 - Barrhaven West,David Hill,Criminal
1293,1293,2025,2/10/2025 5:00:00 AM,2/6/2025 5:00:00 AM,Thursday,Combination (More than 2 Motivations),Combination (More than 2 Motivations),Wilful Promotion Of Hatred,Billings Bridge - Alta Vista,Sector 34,East,5050004.00,Ward 17 - Capital,Shawn Menard,Criminal
1294,1294,2025,2/12/2025 5:00:00 AM,1/29/2025 5:00:00 AM,Wednesday,Sexual Orientation,LGBTQ2+,Public Incitement Of Hatred,Carlington,Sector 21,Central,5050021.00,Ward 16 - River,Riley Brockington,Criminal
1295,1295,2025,2/12/2025 5:00:00 AM,2/12/2025 5:00:00 AM,Wednesday,Immigrants/Newcomers to Canada,Immigrants/Newcomers to Canada,Threats Utter To Person,Westboro,Sector 21,Central,5050045.02,Ward 15 - Kitchissippi,Jeff Leiper,Criminal
1296,1296,2025,2/14/2025 5:00:00 AM,2/13/2025 5:00:00 AM,Thursday,Immigrants/Newcomers to Canada,Immigrants/Newcomers to Canada,Dispute-Neighbour,Orléans North West,Sector 31,East,5050124.02,Ward 2 - Orléans West-Innes,Laura Dudas,Non-Criminal
1297,1297,2025,2/15/2025 5:00:00 AM,2/15/2025 5:00:00 AM,Saturday,Religion,Muslim (Islam),Mischief To Property,Carson Grove - Carson Meadows,Sector 32,East,5050062.01,Ward 13 - Rideau-Rockcliffe,Rawlson King,Criminal
1298,1298,2025,2/17/2025 5:00:00 AM,2/17/2025 5:00:00 AM,Monday,Combination (More than 2 Motivations),Combination (More than 2 Motivations),Wilful Promotion Of Hatred,Orléans Chapel Hill,Sector 31,East,5050125.07,Ward 2 - Orléans West-Innes,Laura Dudas,Criminal
1299,1299,2025,2/21/2025 5:00:00 AM,2/21/2025 5:00:00 AM,Friday,Religion,Jewish,Mischief To Property,Borden Farm - Stewart Farm - Parkwood Hills - Fisher Glen,Sector 17,West,5050131.01,Ward 9 - Knoxdale-Merivale,Sean Devine,Criminal
1300,1300,2025,2/23/2025 5:00:00 AM,2/12/2025 5:00:00 AM,Wednesday,Religion,Catholic,Harass Communications,Centretown,Sector 23,Central,5050040.00,Ward 14 - Somerset,Ariel Troster,Criminal
1301,1301,2025,2/24/2025 5:00:00 AM,2/24/2025 5:00:00 AM,Monday,Race/Ethnicity,Black,Threatening Communications,Centretown,Sector 23,Central,5050037.02,Ward 14 - Somerset,Ariel Troster,Criminal
1302,1302,2025,2/24/2025 5:00:00 AM,2/24/2025 5:00:00 AM,Monday,Race/Ethnicity,Indigenous/Aboriginal,Dispute-Disturbance,New Barrhaven - New Development - Stonebridge,Sector 16,West,5050141.20,Ward 3 - Barrhaven West,David Hill,Non-Criminal
1303,1303,2025,2/25/2025 5:00:00 AM,2/25/2025 5:00:00 AM,Tuesday,Immigrants/Newcomers to Canada,Immigrants/Newcomers to Canada,Dispute-Disturbance,Beacon Hill South - Cardinal Heights,Sector 32,East,5050121.02,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,Non-Criminal
1304,1304,2025,2/25/2025 5:00:00 AM,2/25/2025 5:00:00 AM,Tuesday,Race/Ethnicity,"India,Pakistan/South Asian",Assault Level 1,Byward Market,Sector 24,Central,5050054.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
1305,1305,2025,2/26/2025 5:00:00 AM,2/22/2025 5:00:00 AM,Saturday,Sexual Orientation,LGBTQ2+,Threats Utter To Person,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Sector 31,East,5050171.15,Ward 19 - Orléans South-Navan,Catherine Kitts,Criminal
1306,1306,2025,2/26/2025 5:00:00 AM,2/24/2025 5:00:00 AM,Monday,Religion,Jewish,Mischief To Property,Overbrook - McArthur,Sector 25,Central,5050101.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
1307,1307,2025,2/28/2025 5:00:00 AM,2/26/2025 5:00:00 AM,Wednesday,Race/Ethnicity,Chinese,Assault Level 1,Byward Market,Sector 24,Central,5050054.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
1308,1308,2025,3/1/2025 5:00:00 AM,3/1/2025 5:00:00 AM,Saturday,Sexual Orientation,LGBTQ2+,Mischief To Property,Glebe - Dows Lake,Sector 22,Central,5050018.00,Ward 17 - Capital,Shawn Menard,Criminal
1309,1309,2025,3/3/2025 5:00:00 AM,2/22/2025 5:00:00 AM,Saturday,Sexual Orientation,LGBTQ2+,Mischief To Property,Beaverbrook,Sector 13,West,5050160.02,Ward 4 - Kanata North,Cathy Curry,Criminal
1310,1310,2025,3/3/2025 5:00:00 AM,3/3/2025 5:00:00 AM,Monday,Sexual Orientation,LGBTQ2+,Dispute-Disturbance,Ledbury - Heron Gate - Ridgemont - Elmwood,Sector 34,East,5050005.00,Ward 18 - Alta Vista,Marty Carr,Non-Criminal
1311,1311,2025,3/5/2025 5:00:00 AM,3/5/2025 5:00:00 AM,Wednesday,Race/Ethnicity,Black,Mischief Wilfully Cause,CFB Rockcliffe-NRC,Sector 32,East,5050062.02,Ward 13 - Rideau-Rockcliffe,Rawlson King,Criminal
1312,1312,2025,3/5/2025 5:00:00 AM,3/5/2025 5:00:00 AM,Wednesday,Race/Ethnicity,Black,Threats Utter To Person,Billings Bridge - Alta Vista,Sector 34,East,5050004.00,Ward 17 - Capital,Shawn Menard,Criminal
1313,1313,2025,3/6/2025 5:00:00 AM,3/6/2025 5:00:00 AM,Thursday,Religion,Muslim (Islam),Assault With Weapon Or Cbh Lv2,Hunt Club Park,Sector 33,East,5050001.08,Ward 10 - Gloucester-Southgate,Jessica Bradley,Criminal
